ID_PAID;DATA;COOKIEID;ID_SEX;ID_ETA;ID_INTERESSE_1;ID_INTERESSE2;ID_INTERESSE3;ID_DEVICE;ID_TYPE;PAGEVIEW_INDEX;NUM;ID_CAMPAIGN;ID_SOTTO1;ID_SOTTO2;ID_SOTTO3;ID_COUNTRY;ID_PROVINCIA;ID_CITY
1709038;03/11/2019;0000000000000000002d87bef727605c6;1;4;23;22;19;2;2;1;2;28;11;27;2;1;2;2
1709039;03/11/2019;0000000000000000002d87d20270601aa;2;2;13;16;25;2;1;1;1;26;2;2;2;1;3;3
1709040;03/11/2019;0000000000000000002d87d20270601aa;2;2;13;16;25;2;1;1;2;27;2;2;2;1;3;3
1709041;03/11/2019;0000000000000000002d87dd442b60582;3;1;25;25;25;2;1;2;1;26;2;2;2;1;2;2
1709042;03/11/2019;0000000000000000002d87e26090a014d;1;3;23;25;25;2;1;1;2;27;118;15;2;1;13;15
1709043;03/11/2019;0000000000000000002d87e26090a014d;1;3;23;25;25;2;1;1;1;26;118;15;2;1;13;15
1709044;03/11/2019;0000000000000000002d87e6279f205aa;1;2;31;13;19;2;1;3;1;27;80;60;37;1;2;109
1709045;03/11/2019;0000000000000000002d87e943f7605c1;2;1;33;23;29;2;1;3;1;22;2;2;2;1;4;4
1709046;03/11/2019;0000000000000000002d87ea65ed0058e;3;1;25;25;25;2;1;5;1;27;2;2;2;1;4;4
1709047;03/11/2019;0000000000000000002d87f69de8c05ba;3;1;25;25;25;2;1;1;1;23;2;2;2;1;4;4
1709048;03/11/2019;0000000000000000002d88367dfba0205;3;1;25;25;25;2;1;4;1;21;2;2;2;1;1;1
1709049;03/11/2019;0000000000000000002d883b2781c05d5;2;3;26;32;21;2;1;5;1;21;11;48;43;1;4;4
1709050;03/11/2019;0000000000000000002d885b97ec2011a;2;1;34;26;13;2;1;1;1;26;3;60;29;1;12;14
1709051;03/11/2019;0000000000000000002d885b97ec2011a;2;1;34;26;13;2;1;1;1;27;3;60;29;1;12;14
1709052;03/11/2019;0000000000000000002d8872cae5605dd;1;1;26;34;33;2;1;1;1;26;43;26;2;1;4;4
1709053;03/11/2019;0000000000000000002d887576a5005e0;2;2;26;19;25;2;1;1;1;18;63;2;2;1;7;8
1709054;03/11/2019;0000000000000000002d8878956c4010e;2;7;21;30;19;2;1;5;1;12;42;45;89;1;6;62
1709055;03/11/2019;0000000000000000002d888a1292c05bf;2;1;29;3;30;1;1;1;1;26;69;49;2;1;4;4
1709056;03/11/2019;0000000000000000002d888a35e3005d9;1;5;27;25;16;1;1;1;1;26;32;107;2;1;3;3
1709057;03/11/2019;0000000000000000002d888ec1daa05d1;2;1;29;22;11;2;1;1;1;17;51;36;60;1;3;3
1709058;03/11/2019;0000000000000000002d889257384059c;1;1;35;31;16;1;1;5;1;26;2;2;2;3;14;17
1709059;03/11/2019;0000000000000000002d889673a7405cb;2;2;13;16;35;2;1;1;1;27;2;2;2;5;16;21
1709060;03/11/2019;0000000000000000002d889673a7405cb;2;2;13;16;35;2;1;1;3;26;2;2;2;5;16;21
1709061;03/11/2019;0000000000000000002d889673a7405cb;2;2;13;16;35;2;1;1;1;20;2;2;2;5;16;21
1709062;03/11/2019;0000000000000000002d8896ec72405ca;2;1;29;33;26;2;1;4;3;10;48;36;49;1;4;4
1709063;03/11/2019;0000000000000000002d8896ec72405ca;2;1;29;33;26;2;2;4;1;10;48;36;49;1;4;4
1709064;03/11/2019;0000000000000000002d8898659c005df;2;1;16;29;8;2;1;5;1;28;2;2;2;1;13;126
1709065;03/11/2019;0000000000000000002d88bcbad4e05a4;1;3;32;11;25;2;1;5;1;27;2;2;2;1;2;2
1709066;03/11/2019;0000000000000000002d88eb8122005df;2;7;21;26;13;1;1;5;2;27;51;26;71;1;4;4
1709067;03/11/2019;0000000000000000002d88fa3f32c05b4;2;6;26;29;28;2;1;5;1;27;26;19;23;1;4;4
1709068;03/11/2019;0000000000000000002d8901cca1605a5;1;7;21;19;27;4;1;5;1;28;27;11;44;1;4;4
1709069;03/11/2019;0000000000000000002d89073dc800588;2;2;32;26;21;2;1;5;1;11;11;114;100;1;18;35
1709070;03/11/2019;0000000000000000002d890f7477005b2;3;1;25;25;25;2;1;0;1;16;2;2;2;1;4;4
1709071;03/11/2019;0000000000000000002d890f7a244023d;2;5;11;26;33;2;1;1;1;26;184;26;15;1;12;55
1709072;03/11/2019;0000000000000000002d891683c0805ae;1;4;19;7;8;1;1;1;1;16;2;2;2;1;2;2
1709073;03/11/2019;0000000000000000002d891683c0805ae;1;4;19;7;8;1;1;1;1;27;2;2;2;1;2;2
1709074;03/11/2019;0000000000000000002d891ed46740583;1;1;16;35;25;2;1;1;1;19;2;2;2;1;4;4
1709075;03/11/2019;0000000000000000002d8925ed23a05bf;2;5;13;35;16;2;1;2;1;26;37;24;60;1;4;4
1709076;03/11/2019;0000000000000000002d892edbe7a05c2;1;4;32;18;7;2;1;1;1;27;11;2;2;1;1;1
1709077;03/11/2019;0000000000000000002d8935c0b4a05d8;2;2;13;22;16;2;1;1;1;27;51;2;2;1;5;79
1709078;03/11/2019;0000000000000000002d893655b9e059b;3;1;25;25;25;2;1;2;1;26;2;2;2;1;31;72
1709079;03/11/2019;0000000000000000002d893f76bcc05d4;2;3;21;26;23;2;1;2;2;26;48;100;142;1;4;4
1709080;03/11/2019;0000000000000000002d894f7ccfc0580;3;1;25;25;25;2;1;3;2;23;2;2;2;1;13;15
1709081;03/11/2019;0000000000000000002d8950fbeec0189;2;1;31;17;34;2;1;2;2;21;152;90;2;10;27;53
1709082;03/11/2019;0000000000000000002d8988f2f8605d3;3;1;25;25;25;2;1;0;1;11;2;2;2;1;2;30
1709083;03/11/2019;0000000000000000002d89a4349d40597;3;1;25;25;25;2;1;1;1;22;2;2;2;1;4;4
1709084;03/11/2019;0000000000000000002d89ae38e4405c7;2;1;33;13;29;2;1;2;1;26;2;2;2;1;4;4
1709085;03/11/2019;0000000000000000002d89bab0df8058d;1;1;21;23;11;2;1;1;1;11;29;3;14;1;4;4
1709086;03/11/2019;0000000000000000002d89c23cfaa0232;1;2;23;8;28;2;1;1;3;27;118;99;2;1;25;69
1709087;03/11/2019;0000000000000000002d89c23cfaa0232;1;2;23;8;28;2;1;1;1;26;118;99;2;1;25;69
1709088;03/11/2019;0000000000000000002d89c959dca05b2;1;5;19;25;25;1;1;1;1;17;2;2;2;1;4;4
1709089;03/11/2019;0000000000000000002d89c959dca05b2;1;5;19;25;25;1;1;1;1;18;2;2;2;1;4;4
1709090;03/11/2019;0000000000000000002d89cba808205c3;1;5;22;27;34;2;1;3;2;28;51;59;2;1;4;4
1709091;03/11/2019;0000000000000000002d89cf2b97a05ac;3;1;25;25;25;2;1;4;1;13;2;2;2;1;6;62
1709092;03/11/2019;0000000000000000002d89d180d9a05a1;1;2;26;30;33;2;1;1;1;12;26;2;2;1;4;4
